job_title,category,job_details
Customer Care Experience Associate,Penjualan – Pra & Pasca (Teknologi Informasi & Komunikasi),"Job Desc :
Membantu penyusunan dan penyajian laporan performa layanan secara rutin untuk pelanggan, berdasarkan data dan temuan operasional.
Berpartisipasi dalam kunjungan pelanggan bersama atasan atau tim untuk mendengarkan langsung masukan dan membangun relasi positif.
Mencatat dan mengelola semua masukan dari pelanggan, baik dari pertemuan langsung, email, maupun media lainnya.
Menyusun dokumentasi hasil kunjungan pelanggan dan memberikan insight awal atas potensi masalah atau area perbaikan.
Membantu analisis data survei kepuasan pelanggan (CSI/NPS), serta mengelompokkan feedback berdasarkan topik dan prioritas.
Berkoordinasi dengan unit layanan terkait untuk menindaklanjuti keluhan pelanggan yang belum terselesaikan
Mendukung pelaksanaan program customer engagement (email blast, feedback form, info layanan, dll).
Membantu pelaksanaan survei kepuasan pelanggan dan menganalisis hasil secara sederhana untuk keperluan laporan internal.
Requirements :
Pendidikan minimal D3/S1
Pengalaman minimal 2 tahun dibidang layanan pelanggan atau pengalaman pelanggan (customer experience).
Mampu mengelola dan menyusun laporan pelanggan menggunakan Microsoft Excel dan PowerPoint.
Memiliki keterampilan komunikasi tertulis dan lisan yang sangat baik, serta berorientasi pada pelayanan.
Mampu mendengarkan secara aktif dan menyampaikan kembali kebutuhan pelanggan dengan jelas.
Terampil dalam presentasi, memiliki kemampuan interpersonal dan negosiasi dasar.
Bersedia melakukan kunjungan kerja ke pelanggan seluruh cabang
(on-site perjalanan via darat/udara/laut)
secara berkala
Memiliki kemampuan analitis dasar dalam membaca tren kepuasan pelanggan dan memberikan saran awal.
Penempatan : HQ (Cyber 2 Tower) dan WFO"
Customer Solution Associate (6-months contract),Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi),"Purpose of Role
The Customer Solution Associate is a critical team member responsible for executing initiatives that improve guest experiences and operational excellence. This position focuses on branch-level training, travel planning, and administrative support. By ensuring high-quality training, offering tailored travel planning services, and maintaining efficient administrative processes, the role contributes to the seamless delivery of Bobobox’s guest-centric services.
What you will do:
Execute training programs for branch staff, from preparation to delivery and evaluation
Ensure training aligns with organizational standards, enhances staff capabilities, and supports the goal of positively impacting revenue
Develop personalized travel plans and sell ancillary products (e.g., F&B and activities) to guests before their stay
Collaborate with internal teams to offer engaging and seamless pre-booking experiences
Assist in managing department expense requests, incentive programs, and voucher processing
Maintain accurate records and ensure timely completion of administrative tasks
You will fit in this job if you:
Bachelor’s degree in Hospitality, Tourism, Business, Management, or a related field (or equivalent experience)
At least 1 year of experience in training facilitation and a sales-related role, preferably within the hospitality or F&B industries
Strong organizational and multitasking skills to manage varied responsibilities effectively
Excellent communication and interpersonal abilities to collaborate with teams and deliver guest-centric services
Willingness to travel as needed (up to 30%)"
Website Administrator,Pengembangan & Produksi Web (Teknologi Informasi & Komunikasi),"Job Description:
Perform installation, upgrade, support, and maintenance for WordPress and plug-in.
Perform the day-to-day and regular maintenance of the websites: (Back up website, Monitor spam message, Monitor login attack report)
Regularly update and maintain plugins to ensure compatibility and security.
Optimizing the SEO of website.
Manage the content management.
Manage the current websites.
Monitoring expiry hosting & domain and SSL.
Monitoring the websites load speed and visitor count.
Updating format jpeg to webp.
Create standard design for company and product logo
Perform other responsibilities and duties assigned by the supervisor/manager.
Requirements:
Speak fluently and write effectively in English
Familiar with Wordpress and Plugin
Can do SEO and Google Analytics is an added advantage
Desire to work in a Software Company
An organized person with a positive mindset
Academic: Diploma / Degree or higher in related course
Experience: Min 1 year in similar environment"
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Tanggung Jawab Utama
Memberikan dukungan teknis dan troubleshooting untuk berbagai masalah hardware, software, dan jaringan yang dihadapi karyawan.
Menginstal, mengonfigurasi, dan memelihara perangkat komputer, printer, dan peralatan IT lainnya.
Memantau dan memelihara infrastruktur IT untuk memastikan ketersediaan dan kinerja yang optimal.
Memberikan pelatihan dan panduan kepada karyawan mengenai penggunaan sistem dan aplikasi IT.
Mengidentifikasi dan mengatasi masalah IT secara efisien, serta berkoordinasi dengan tim untuk menyelesaikan masalah yang kompleks.
Mengelola inventaris aset IT dan memastikan keamanan data dan sistem.
Mengembangkan dan mengimplementasikan prosedur dan praktik terbaik untuk dukungan IT.
Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan
Diploma atau gelar di bidang Teknologi Informasi, Sistem Informasi, atau disiplin terkait.
Minimal 2 tahun pengalaman dalam peran IT Support atau helpdesk.
Pemahaman yang baik tentang sistem operasi, aplikasi desktop, jaringan, dan infrastruktur IT.
Kemampuan troubleshooting dan pemecahan masalah yang efektif.
Keterampilan komunikasi yang baik, kemampuan bekerja dalam tim, dan berorientasi pada layanan pelanggan.
Pengetahuan tentang manajemen aset IT dan praktik keamanan data.
Kemampuan untuk bekerja dalam lingkungan yang cepat berubah dan bertanggung jawab."
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Kualifikasi:
Pendidikan minimal SMK/D3/S1 Teknik Komputer/Informatika
Berpengalaman minimal 1 tahun
Mengerti aplikasi Microsoft Office
Mengerti MS SQL Server dan Windows
Memiliki pengetahuan terkait troubleshooting Aplikasi
Mampu bekerja secara tim dan individu
Mampu bekerja di bawah tekanan dan memiliki inisiatif dalam bekerja
Berkepribadian menarik, teliti, dinamis dan memiliki kemauan untuk berkembang
Domisili Jabodetabek
Lokasi kerja Jakarta Pusat
Jobdesk:
Memperbaharui sistem operasi dan aplikasi yangi dijalankan pengguna
Melakukan pengecekan atau maintenance jaringan dan PC pada kantor pusat dan kantor cabang
Menjaga keamanan system operasi dari segala ancaman termasuk virus
Melakukan back up database mingguan dan bulanan
Memastikan seluruh perangkat pengguna/karyawan terhubung ke jaringan dan berjalan dengan baik
Memastikan data di komputer pengguna aman
Membantu karyawan jika ada masalah dalam penggunaan komputer dan jaringan
Merakit PC dan melakukan instalasi sistem operasi terutama Windows
Maintenance website Perusahaan"
Staff IT Programmer,Developer/Programmer (Teknologi Informasi & Komunikasi),"Tanggung Jawab Utama
Mengembangkan, dan mengimplementasikan aplikasi perangkat lunak dan sistem teknologi informasi yang sesuai dengan kebutuhan perusahaan.
Menganalisis dan memecahkan masalah teknis yang timbul selama fase pengembangan dan implementasi.
Memelihara dan meningkatkan sistem yang ada untuk meningkatkan kinerja dan efisiensi.
Memberikan dukungan teknis dan pelatihan kepada pengguna akhir.
Terus mengikuti perkembangan teknologi terbaru dan memberikan saran perbaikan.
Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan
Minimal D3 dalam Ilmu Komputer, Teknologi Informasi, atau bidang terkait.
Minimal 3 tahun pengalaman sebagai Programmer atau Pengembang Perangkat Lunak.
Mahir dalam Programming (Typescript : Node, React, Next.js, AWS), Database management (My SQL/Prosgresql & AWS Dbd)
Kemampuan bekerja dalam tim dan berkolaborasi dengan berbagai pemangku kepentingan.
Memiliki kemampuan pemecahan masalah, kreativitas, dan orientasi detail yang kuat
Memiliki passion (menyukai coding) dan semangat untuk belajar
Bersedia melakukan perjalanan dinas ke seluruh unit operasional perusahaan"
IT NETWORK,Teknik – Jaringan (Teknologi Informasi & Komunikasi),"Kesempatan
PT Infracom Telesarana, perusahaan ICT terkemuka di Indonesia, sedang mencari kandidat berbakat untuk bergabung dengan tim kami sebagai IT Network. Dalam peran ini, Anda akan memegang peran strategis dalam membangun dan memelihara infrastruktur jaringan perusahaan kami yang menghubungkan berbagai lokasi dan layanan. Sebagai anggota tim kami, Anda akan memainkan peran kunci dalam menjaga kelangsungan bisnis dan mendukung pertumbuhan kami di seluruh Indonesia.
Tanggung Jawab
Merancang, mengimplementasi, dan memelihara jaringan komputer, LAN, WAN, dan infrastruktur terkait untuk mendukung operasional bisnis.
Memantau dan menganalisis kinerja jaringan, mengidentifikasi masalah, dan menerapkan solusi untuk memastikan ketersediaan dan stabilitas sistem yang optimal.
Melakukan konfigurasi, pembaruan, dan pemeliharaan perangkat keras dan perangkat lunak jaringan, seperti router, switch, firewall, dan aplikasi manajemen jaringan.
Mengidentifikasi dan menerapkan perbaikan serta peningkatan keamanan jaringan untuk melindungi infrastruktur dari ancaman cyber.
Berkoordinasi dengan tim IT lainnya dan pemangku kepentingan bisnis untuk memastikan solusi jaringan yang terintegrasi dan selaras dengan kebutuhan organisasi.
Memberikan dukungan teknis, melatih, dan memberdayakan pengguna akhir untuk mengoptimalkan penggunaan infrastruktur jaringan.
Persyaratan
Minimal 1 tahun pengalaman dalam peran serupa, dengan pemahaman yang mendalam tentang teknologi dan konsep jaringan.
Kemampuan yang terbukti dalam merancang, mengonfigurasi, dan memelihara jaringan LAN, WAN, dan infrastruktur terkait.
Pengetahuan yang mahir tentang routing, switching, keamanan jaringan, dan protokol jaringan.
Kemampuan troubleshooting yang kuat dan pengalaman mengatasi masalah jaringan kompleks.
Pemahaman yang baik tentang praktik terbaik dan standar industri dalam manajemen jaringan.
Kemampuan berkomunikasi yang efektif, baik secara lisan maupun tertulis, untuk berinteraksi dengan tim teknis dan pemangku kepentingan bisnis.
Bersemangat untuk terus belajar dan mengembangkan keterampilan teknis terbaru.
Manfaat
Program pengembangan profesional dan pelatihan yang berkelanjutan untuk meningkatkan keterampilan Anda.
Berbagai manfaat tambahan, seperti BPJS, Medical, Kacamata, cuti tahunan, dan program kesejahteraan karyawan."
IT DEVELOPER STAFF,Developer/Programmer (Teknologi Informasi & Komunikasi),"Deskripsi Pekerjaan :
Melakukan analisa, design, develop, dan dokumentasi Program
Melakukan troubleshoot dan mencari solusi terhadap problem di Program
Melakukan testing terhadap Program
Mendevelop report-report yang dibutuhkan oleh user
Memberikan training kepada user mengenai penggunaan Program
Kualifikasi :
Pendidikan S1 Teknik Informatika/ Sistem Informasi/ Teknik Komputer
Pengalaman sebagai Programmer 5 tahun
Menguasai Web Based Programming (PHP, Javascript, CSS)
Menguasai Framework CI dan Laravel
Menguasai Database SQL Server, MySQL
Jujur, Disiplin, dan Bertanggung jawab
Dapat bekerja sama dengan tim dan berkomunikasi dengan baik
Penempatan di kantor Jakarta ( Mampang Prapatan – Jaksel )"
Project Admin,Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi),"Deskripsi Pekerjaan :
Melakukan koordinasi antar tim teknis dan non-teknis untuk memastikan alur komunikasi berjalan efektif.
Membantu dalam proses pengadaan barang/jasa yang terkait dengan proyek IT (pengajuan PR/PO, koordinasi dengan vendor, dll).
Menjaga kerahasiaan informasi dan dokumen proyek.
Menyusun anggaran project dan laporan realisasinya.
Mengontrol end-to-end project dari aktivitas terkait dokumen
Kualifikasi :
Pendidikan Minimal D3/S1 dengan jurusan Sistem Informasi, Teknik Komputer, Teknik Informatika atau bidang terkait.
Memiliki pengalaman bekerja Minimal 1 tahun sebagai Project Admin (Berpengalaman di Industri IT menjadi nilai tambah).
Mampu mengoperasikan Microsoft Office (Word, Excel, PowerPoint),
Memiliki kemampuan organisasi, dokumentasi, dan komunikasi yang baik.
Mampu bekerja dalam tim maupun mandiri.
Dapat bergabung secepatnya"
Pengawas Lapangan (Infrastruktur Telekomunikasi) - Serang,Telekomunikasi (Teknologi Informasi & Komunikasi),"Deskripsi Pekerjaan:
Memastikan kegiatan operasional harian serta kualitas pekerjaan vendor sesuai ketentuan dan kesepakatan
Mengumpulkan serta memproses Acceptance Test Procedure (ATP) & Qualification Test Procedure (QTP)
Mengumpulkan data Home Passed sesuai dengan proyek dengan melakukan survey lapangan
Membantu Analyst untuk membuat laporan progress proyek update harian
Kualifikasi:
Pendidikan minimal D3; Diutamakan jurusan teknik sipil, elektro, telekomunikasi
Usia 25 - 35 tahun
Pengalaman di bidang yang sama minimal 2 tahun
Jujur, pekerja keras, dan teliti
Memiliki kemampuan komunikasi dan manajemen waktu yang baik
Menguasai pekerjaan instalasi dan mengetahui pekerjaan CME
Menguasai FTTH dan survey Homepass
Informasi Tambahan:
Penempatan di
Serang
Dengan Mendaftar berarti setuju untuk ditempatkan di
Serang"
Support Engineer,Teknik – Jaringan (Teknologi Informasi & Komunikasi),"Job Title: Support Engineer
Job Level: Staff
Departement: Support
Atasan Langsung: Support Engineer Departement Head
Lokasi Kerja: Taman Mpu Sendok, SCBD dan Oakwood Building
Kualifikasi:
Pendidikan minimal SMK Teknik, diutamakan jurusan Teknik Komputer dan Jaringan (TKJ).
Memiliki pengalaman kerja di bidang instalasi jaringan.
Menguasai penggunaan alat splicing, OTDR, dan OPM.
Memahami topologi jaringan FTTH (Fiber to the Home).
Memiliki pengetahuan dasar jaringan komputer.
Menguasai instalasi dan konfigurasi perangkat jaringan seperti WiFi, Access Point (AP), dan Wireless Router.
Berpengalaman melakukan site survey WiFi menggunakan aplikasi Ekahau.
Pernah mengikuti pelatihan terkait: Instalasi jaringan FTTH, Splicing dan penggunaan OTDR, IP Addressing, Subnetting, Routing Dasar, dan Topologi Jaringan.
Siap bekerja di lapangan, Cekatan dan memiliki inisiatif tinggi, dan Tidak takut bekerja di ketinggian.
Memiliki komunikasi yang baik, Disiplin, jujur, dan bertanggung jawab.
Tugas dan tanggung jawab:
Melaksanakan pekerjaan instalasi jaringan telekomunikasi ke pelanggan.
Melaksanakan aktivasi dan buka isolir layanan telepon, TV, komunikasi data, dan internet di pelanggan.
Melakukan pemutusan dan isolir layanan telepon, TV, komunikasi data, dan internet di pelanggan.
Melakukan test koneksi jaringan telekomunikasi (
Ber Test
, cek redaman
fiber optic
, cek
bandwith
).
Membuat laporan survei jaringan (instalasi maupun relokasi) dan menandatangani berita acara serah terima bersama pelanggan.
Melakukan analisis dan penyelesaian gangguan jaringan telekomunikasi.
Memberikan dukungan pelaksanaan proyek.
Memproses pengajuan izin kerja ke
building management
.
Mengaplikasikan instruksi kerja dengan baik.
Menjalin kerjasama yang baik dengan sesama teknisi dan pelanggan.
Berperilaku disiplin, sopan, dan ramah dalam setiap koordinasi, baik internal maupun eksternal."
IT ERP (SAP) Functional Staff,Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi),"Responsibilities:
- Evaluate & mapping the company system with business process
- Proactive looking for continuous improvement in business process
- Provide/handling users support and training in ERP System
- Ensure that the ERP System and application operate reliably and efficiently
- Develop and maintain ERP System customization
- Create report on system effectiveness
Requirements:
- Bachelor's degree in computer science or IT related field
- Having min 3 years of experience especially in ERP, SAP S/4HANA functional and modules will be preferred
- Good in English both written and speaking
- Proficiency computer skill: MS Office including ERP System
- Able to multitask, prioritize and manage time effeciently
- Willing to travel to any office location, including remote site areas"
IT Server & Network Engineer,Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi),"Tugas & Tanggung Jawab:
1. Infrastruktur Server dan Jaringan:
Mengelola server fisik dan virtual (Windows/Linux), termasuk instalasi, konfigurasi, dan pemeliharaan rutin.
Merancang dan mengelola topologi jaringan LAN/WAN, firewall, VPN, dan perangkat jaringan (switch, router, access point).
Memantau kinerja jaringan dan server, serta melakukan optimasi sistem jika diperlukan.
2. Pengelolaan Sistem UPS dan Daya Listrik IT:
Menyediakan dan memelihara sistem UPS untuk mendukung infrastruktur IT (server, storage, dan perangkat jaringan).
Melakukan perhitungan kapasitas daya UPS dan distribusi beban listrik untuk memastikan ketahanan dan keandalan daya.
Melakukan inspeksi, pengujian rutin, dan pemeliharaan preventif UPS.
Bekerja sama dengan vendor atau teknisi listrik untuk troubleshooting dan upgrade sistem UPS.
Memastikan sistem UPS terintegrasi dengan sistem monitoring dan memiliki notifikasi kegagalan otomatis.
3. Keamanan dan Keandalan Sistem:
Memastikan sistem memiliki failover dan dukungan kelistrikan yang memadai untuk menghadapi outage.
Menerapkan sistem backup dan recovery yang berkelanjutan.
Menyusun SOP tanggap darurat jika terjadi gangguan daya atau kerusakan perangkat.
4. Dukungan Teknis & Dokumentasi:
Memberikan dukungan teknis kepada tim internal untuk masalah terkait server, jaringan, dan sistem daya.
Mendokumentasikan konfigurasi perangkat, instalasi UPS, dan skema kelistrikan ruang server/data center.
Menyediakan laporan performa sistem secara berkala.
Kualifikasi:
Pendidikan minimal D3/S1 Teknik Informatika, Elektro, atau bidang terkait.
Pengalaman minimal 2 tahun di bidang IT Infrastruktur dengan penanganan sistem UPS.
Pemahaman teknis yang baik mengenai jaringan, server, dan sistem kelistrikan dasar.
Terampil dalam pengoperasian perangkat UPS (APC, Eaton, Schneider, dll) dan sistem pemantauannya.
Memiliki sertifikasi di bidang jaringan atau kelistrikan (CCNA, MTCNA, atau Sertifikat K3 Listrik adalah nilai tambah).
Mampu membaca diagram kelistrikan dan mendesain layout distribusi daya untuk ruang server/data center."
IT Solution Specialist,Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi),"Minimum memiliki pengalaman 2 tahun. Fresh graduate masih diterima.
S1 dari jurusan ilmu komputer, software engineer, sistem informasi, atau jurusan IT lainnya.
Memahami cloud (AWS, GCP, atau Azure)
Bersedia dalam membantu kebutuhan technical client
Memiliki pemahaman kuat untuk prinsip-prinsip Fullstack
Frontend: Dapat menggunakan Javascript, HTML5, CSS3
Backend: Memahami Node.JS, Python, atau Java
Database: Pemahaman dasar SQL (ex. PostgreSQL, MySQL)
APIs: Memahami RESTful APIs
Dapat berkomunikasi dengan baik
Proaktif dalam belajar hal baru
Dapat bekerja sama dengan orang lain"
IT Technical Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Pendidikan minimal D3/S1 Teknik Informatika/Management Informatika/IT dengan IPK minimal 3.00
Minimal memiliki pengalaman selama 1 tahun (Fresh Graduate silahkan melamar)
Mampu bekerjasama dengan tim, komunikatif, bekerja keras dan bertanggung jawab
Memiliki interpersonal skill yang baik
Menyukai hal-hal terkait perangkat komputer dan setting jaringan komputer
Menguasai Mikrotik, Ncomputing, Instalasi Server, Setup Jaringan, Virtiualisasi Server
Memiliki kemampuan konfigurasi, maintenance, dan troubleshoot/access point
Memiliki kemampuan maintenance dan troubleshoot hardware dan software perangkat komputer
Bersedia ditempatkan di Head Office Arista Group, Jakarta Timur
Bersedia melakukan perjalanan dinas"
IT On site,Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi),"1、计算机科学与技术、网络工程等相关专业，本科以上学历；
2、三年以上网络建设和运维管理相关岗位经验，熟悉大型企业网络架构，精通路由交换相关技术，熟悉TCP/IP及常见网络协议，需执有HCNP、CCNP同等或更高级别证书；
3、有工业网络建设和运维经验者优先；
4、有信息安全管理经验者优先
5、具备数据库操作，软件开发能力；
6、熟悉工厂制造执行系统（MES）、WMS、MOM、SAP系统等；
7、具备相应工作经验两年以上；
8、熟悉制造业供应链、生产业务优先
1. Lulusan ilmu  komputer, dan teknik jaringan atau jurusan terkait lainnya, sarjana atau lebih tinggi; (Bisa berbahasa mandarin lebih diutamakan）
2. Fasih berbahasa inggris
3. Lebih dari tiga tahun pengalaman dalam konstruksi jaringan dan posisi terkait operasi dan pemeliharaan, memahami arsitektur jaringan perusahaan besar, mahir dalam teknologi terkait routing dan switching, memahami tentang TCP/IP dan protokol jaringan umum, diharuskan memiliki sertifikat HCNP, setara CCNP atau tingkat yang lebih tinggi;
4. Pelamar  memiliki pengalaman dalam pembangunan dan pengoperasian serta pemeliharaan jaringan industri diprioritaskan;
5. Pelamar dengan pengalaman manajemen keamanan informasi lebih diutamakan
6. Memiliki kemampuan pengoperasian database dan pengembangan perangkat lunak;
7. Familiar dengan sistem eksekusi manufaktur pabrik (MES), WMS, MOM, sistem SAP, dll.;
8. Memiliki pengalaman kerja yang relevan lebih dari dua tahun;
9. Memahami proses supply chain manufaktur dan bisnis prosess di  produksi lebih diutamakan"
Production Engineering (IT Programmer),Teknik – Perangkat Lunak (Teknologi Informasi & Komunikasi),"PT YKK ZIPCO INDONESIA
has been operating since 1989 in Indonesia. Today, we are entering a period of transition and stepping up to a new level of raising our awareness. Since our customers have been expanding their material procurement to the world scale to seek the best choice, we are also urged to develop our business to offer suitable service to customers on a global level, without any boundaries.
Then from that, we are looking for the best person to fill the new candidate as
a production engineer (IT programmer).
General Responsibilities:
Create a web-based program (back end & view).
Maintenance of existing systems
Make a report on the system update.
Requirements:
The candidate must possess at least a diploma or bachelor's degree in informatics technique, information systems or computer engineering.
Required language(s): English, Bahasa Indonesia
Able to operate Microsoft Office (Word, Excel, PowerPoint)
Understand the CI3/Laravel framework
Able to use PHP, JavaScript and SQL
Create the use case and schedule work
Fresh graduate/At least 1 year(s) of working experience in the related field is required for this position.
Ready to be placed in Cibitung
Full-time position(s) available"
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Job Description :
Install, configure, and maintain hardware and software.
Troubleshoot network issues (LAN/WAN, Wi-Fi) and IT equipment (PCs, printers, routers).
Coordinate with external vendors for service and hardware/software updates.
Perform data backups and ensure system security.
Support new IT project implementation based on company needs.
Prepare technical documentation and reports as required.
Requirements
:
Minimum Bachelor's degree (S1) in IT, Information Systems, or related fields.
Minimum 2 year of experience in a similar role.
Strong troubleshooting skills in hardware, networking, and Windows OS.
Basic understanding of cloud services (Google Workspace / Microsoft 365).
Preferred: Experience with ERP, CRM, or inventory systems.
Communicative, proactive, and able to work in a team.
Plus point: Skilled in frontend (React) and backend (Laravel) development"
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Persyaratan :
Bisa instalasi dan maintenance jaringan, cctv, windows
Bisa maintenance printer, sparepart CPU
Paham kelistrikan
Kemampuan dalam mengoperasikan dan mengelola server
Memiliki kemampuan untuk membandingkan spesifikasi sparepart (hardware)
Jobdesk :
memberikan dukungan teknis kepada pengguna dalam hal perangkat keras (hardware), perangkat lunak (software), dan jaringan, serta memastikan sistem komputer berfungsi dengan baik"
STAFF PROGRAMMER,Developer/Programmer (Teknologi Informasi & Komunikasi),"Kesempatan
Bergabunglah dengan tim programmer kami di PT Lucky Indah Keramik, pemimpin industri keramik terkemuka di Indonesia. Sebagai Staff Programmer, Anda akan memainkan peran kunci dalam mengembangkan solusi teknologi inovatif yang mendukung pertumbuhan bisnis kami.
Tanggung Jawab :
Membuat aplikasi / program yang dibutuhkan perusahaan.
Maintenance aplikasi / program yang sedang berjalan
Kualifikasi :
Usia maksimal 27 tahun.
Pendidikan minimal S1 Sistem Informasi / Teknik Informatika.
Menguasai desktop programming (minimal Visual Basic). Nilai tambah apabila menguasai Power Builder.
Menguasai SQL dengan baik.
Fresh graduated are welcome.
Tentang Kami
PT Lucky Indah Keramik adalah pemimpin industri keramik di Indonesia, memproduksi produk keramik berkualitas tinggi untuk pasar domestik dan internasional selama lebih dari 30 tahun. Kami dikenal karena komitmen kami terhadap inovasi, kualitas, dan layanan pelanggan yang unggul. Sebagai bagian dari tim kami, Anda akan berkesempatan untuk berkontribusi pada pertumbuhan dan kesuksesan perusahaan kami di tengah lanskap industri yang dinamis.
Tertarik untuk bergabung dengan kami? Lamar sekarang dan jadilah bagian dari perjalanan kami!"
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Job Description
Troubleshoot and resolve hardware, software, network, and connectivity issues.
Install, configure, and maintain desktops, laptops, printers, and mobile devices.
Manage user accounts, permissions, and access rights in Active Directory and other systems.
Monitor IT systems and perform routine maintenance tasks.
Assist with onboarding and offboarding of employees, including setup of equipment and accounts. - Escalate unresolved issues to senior technicians or system administrators as needed.
Document support requests, resolutions, and technical procedures.
Ensure adherence to IT policies, procedures, and security standards.
Job Requirement
Berpengalaman minimal 1 tahun sebagai IT support
Detail and SOP oriented"
IT Staff,Developer/Programmer (Teknologi Informasi & Komunikasi),"Responsibility:
System support related to MFG area
Production IT PC control and monitoring
Local system & DX development and maintenance (Mobile)
Production File Server maintenance and monitoring
Requirement:
Candidate must possess at least a Bachelor's in Information Technology/Computer Science (Min. GPA 3.00)
Preferable have 1 year working experience in Manufacturing Industry
Have knowledge of .Net, PHP, and Mobile programming language, thermal/barcode printer and scanner, PLC operation, and I/O interface
Know managing network systems and hardware troubleshooting
Able to work under pressure and tight deadline
Proficient in Microsoft Office (Ms. Excel preferred)
Required language(s): English
This position will be employed as
Outsourcing
Willing to work in MM2100 Industrial Town, Cibitung, Bekasi"
Business Analyst (All Level),Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi),"About us:
OTO.com (automotive financing service marketplace) is a part of CarDekho SEA (India’s biggest digital automotive solutions provider). OTO.com operates the business across Indonesia and initially focuses on new car dealerships and expanding the new business unit for used car financing, re-financing, dealer inventory funding, multifinancing, and auto insurance.
Responsibilites:
Collecting, analyzing and interpreting data, and creating reports that can be used to inform the overall business strategy.
You will work with various teams to identify trends, patterns, and opportunities, and provide insights on key metrics.
Communicating findings to stakeholders and aligning data-driven strategy.
Requirements:
Bachelor's Degree in Engineering, Finance, Economics, or related field is required.
Prior experience working as a Business Analyst / Consultant or related role (1-10 years).
Proficient in MS Excel, SQL and Data Visualization Tools such as Tableau and Python.
Strong analytical and problem-solving skills.
Excellent written and verbal communication skills (English & Bahasa).
Ability to work independently and in a team environment.
Experience in the automotive industry is a plus.
Knowledge of statistical analysis, data mining, and machine learning is a plus."
IT SUPPORT,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Deskripsi Pekerjaan :
Menginstal, mengonfigurasi, dan memelihara perangkat keras, perangkat lunak, jaringan, dan sistem IT lainnya.
Memberikan dukungan teknis kepada pengguna (troubleshooting) untuk mengatasi permasalahan perangkat keras dan perangkat lunak.
Mengelola akun pengguna dan memastikan keamanan akses ke sistem IT perusahaan.
Melakukan pemeliharaan berkala terhadap perangkat keras dan jaringan untuk memastikan kelancaran operasional.
Mengembangkan dan memperbarui dokumentasi terkait sistem dan prosedur IT.
Mendukung implementasi proyek IT baru sesuai dengan kebutuhan perusahaan.
Berkoordinasi dengan vendor eksternal terkait perbaikan atau pembaruan perangkat keras dan perangkat lunak.
Menangani backup data secara rutin dan memastikan sistem keamanan data perusahaan.
Kualifikasi:
Pendidikan minimal D3/S1 di bidang Teknologi Informasi, Sistem Informasi, Teknik Informatika, atau jurusan terkait.
Pengalaman minimal 1-2 tahun di bidang IT Support atau posisi serupa (fresh graduate dipersilakan melamar).
Memahami instalasi, konfigurasi, dan troubleshooting perangkat keras dan perangkat lunak.
Menguasai dasar-dasar jaringan (LAN, WAN, IP Address, dll.).
Memiliki pengetahuan tentang sistem operasi (Windows, MacOS, Linux, Miktotik) dan aplikasi perkantoran (Microsoft Office, Email Outlook dll.).
Memiliki kemampuan komunikasi dan analisis yang baik untuk menangani permasalahan teknis.
Mampu bekerja secara individu maupun dalam tim.
Bersedia untuk bekerja di bawah tekanan dan menangani banyak tugas secara bersamaan.
Memiliki sertifikasi di bidang IT (seperti CompTIA, CCNA, atau sejenisnya) akan menjadi nilai tambah."
